City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
6,Busselton,AU,58.08,clear sky,-33.65,115.3333,Observatory Guest House
12,Lokomotivnyy,RU,58.69,broken clouds,53.0118,60.5684,
23,Thompson,CA,59.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
28,Mar Del Plata,AR,57.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Rawson,AR,51.91,clear sky,-43.3002,-65.1023,Hosteria Sampedro
37,Carnarvon,AU,53.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Tuktoyaktuk,CA,50.0,light rain,69.4541,-133.0374,End of The Road Ltd.
55,Kodiak,US,51.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
71,Hwange,ZW,59.02,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
92,Constitucion,CL,53.58,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
97,Flinders,AU,56.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
99,Sorland,NO,53.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
100,Ilulissat,GL,55.42,broken clouds,69.2167,-51.1,Hotel Arctic
102,Kabompo,ZM,56.28,clear sky,-13.5927,24.2008,Big Tree
105,Rio Cuarto,AR,56.97,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
113,Port Elizabeth,ZA,50.29,scattered clouds,-33.918,25.5701,39 On Nile Guest House
119,Nuuk,GL,52.41,broken clouds,64.1835,-51.7216,Vandrehuset
149,Nizhniy Kuranakh,RU,58.86,overcast clouds,58.8353,125.4869,Park Pobedy
152,Kaeo,NZ,56.32,scattered clouds,-35.1,173.7833,Bushido Lodge
158,Batagay,RU,55.2,scattered clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
163,Onega,RU,54.43,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
166,Ust-Kuyga,RU,53.73,clear sky,70.0167,135.6,
171,Chara,RU,55.96,broken clouds,56.9064,118.2631,
185,Ankazobe,MG,54.01,broken clouds,-18.3167,47.1167,
187,Saldanha,ZA,59.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
193,Nefteyugansk,RU,59.25,overcast clouds,61.0998,72.6035,Royal Plaza
194,Necochea,AR,50.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
197,Esperance,AU,51.64,clear sky,-33.8667,121.9,Hospitality Esperance
213,East London,ZA,56.34,clear sky,-33.0153,27.9116,Tu Casa
215,Mackay,AU,53.04,clear sky,-21.15,149.2,International Lodge Motel
223,Christchurch,NZ,53.01,light rain,-43.5333,172.6333,The George
234,Dunedin,NZ,50.81,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
244,Valdivia,CL,50.09,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
252,Olafsvik,IS,50.02,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
254,Grindavik,IS,51.75,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
258,Lebu,CL,52.77,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
285,Xining,CN,56.84,overcast clouds,36.6167,101.7667,Super Leisure Hotel
296,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
302,Igarka,RU,54.46,broken clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
304,Saskylakh,RU,53.91,broken clouds,71.9167,114.0833,
312,Palana,RU,51.66,overcast clouds,59.1167,159.9667,
318,Tokur,RU,56.07,broken clouds,53.1333,132.9,
322,Narsaq,GL,59.22,broken clouds,60.9167,-46.05,Narsaq Kayak Hostel
333,Sangar,RU,56.57,clear sky,63.9242,127.4739,
349,Alice Springs,AU,53.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
357,Severo-Kurilsk,RU,53.98,broken clouds,50.6789,156.125,Kak Doma
363,Urengoy,RU,59.2,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
379,Tromso,NO,57.85,broken clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
381,Andenes,NO,59.07,fog,69.3143,16.1194,Hotell Marena
388,Robe,AU,56.77,overcast clouds,-37.1833,139.75,Harbour View Motel
390,Aklavik,CA,55.4,broken clouds,68.2191,-135.0107,Aklavik Inn
393,Makushino,RU,54.34,clear sky,55.2103,67.2442,Cristina Hotel
394,Brae,GB,58.91,clear sky,60.3964,-1.353,Busta House Hotel
397,Beisfjord,NO,59.05,overcast clouds,68.3751,17.5988,
403,Sistranda,NO,58.96,few clouds,63.7256,8.834,Hotell Frøya
405,Flin Flon,CA,58.84,mist,54.7682,-101.865,Victoria Inn Flin Flon
411,Husavik,IS,58.91,overcast clouds,66.0449,-17.3389,Bjarnabúð
414,Puerto Madryn,AR,52.84,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
420,Chelno-Vershiny,RU,55.69,scattered clouds,54.4333,51.1,Zaitkino
424,Xingyi,CN,59.65,overcast clouds,24.1877,102.817,
427,Plettenberg Bay,ZA,59.22,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
431,Tazovskiy,RU,52.11,overcast clouds,67.4667,78.7,TazHostel
440,Toora-Khem,RU,59.43,light rain,52.4675,96.11,
444,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
446,Port Lincoln,AU,55.62,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
450,Seymchan,RU,58.26,light rain,62.8833,152.4333,
462,Gornopravdinsk,RU,50.38,scattered clouds,60.05,69.9,Burovik
476,Vestmannaeyjar,IS,51.08,overcast clouds,63.4427,-20.2734,Glamping & Camping
477,Neuquen,AR,57.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
481,Ulladulla,AU,55.09,clear sky,-35.35,150.4667,Sandpiper Motel
