,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Barrow,US,71.2906,-156.7887,42.82,91,90,13.8,overcast clouds
1,Norman Wells,CA,65.282,-126.8329,66.24,45,20,8.05,few clouds
2,Bengkulu,ID,-3.8004,102.2655,74.89,87,0,5.5,clear sky
3,Mataura,NZ,-46.1927,168.8643,46.47,92,100,3.22,light rain
4,Skoropuskovskiy,RU,56.3667,38.1667,68.56,55,89,3.36,overcast clouds
5,Mattru,SL,7.6244,-11.8332,74.57,90,100,3.91,overcast clouds
6,Busselton,AU,-33.65,115.3333,58.08,66,5,20.22,clear sky
7,Bani,DO,18.2833,-70.3333,90.84,63,56,9.44,broken clouds
8,Atuona,PF,-9.8,-139.0333,78.06,68,81,23.85,broken clouds
9,Hobart,AU,-42.8794,147.3294,43.05,74,51,1.99,broken clouds
10,Namioka,JP,40.7072,140.5894,72.91,96,13,3.29,few clouds
11,Provideniya,RU,64.3833,-173.3,47.16,99,100,4.43,light rain
12,Lokomotivnyy,RU,53.0118,60.5684,58.69,77,69,6.26,broken clouds
13,Guerrero Negro,MX,27.9769,-114.0611,77.43,58,92,10.29,overcast clouds
14,Vaini,TO,-21.2,-175.2,66.36,100,20,0.0,fog
15,Luderitz,NA,-26.6481,15.1594,67.17,25,100,4.7,overcast clouds
16,Faanui,PF,-16.4833,-151.75,78.04,67,0,14.67,clear sky
17,Salalah,OM,17.0151,54.0924,78.89,94,75,8.05,broken clouds
18,Santa Luzia,BR,-19.7697,-43.8514,77.34,36,0,3.44,clear sky
19,Manado,ID,1.487,124.8455,81.37,65,40,4.61,scattered clouds
20,Amuntai,ID,-2.4177,115.2494,70.27,93,0,1.1,clear sky
21,Albany,US,42.6001,-73.9662,84.27,74,66,3.15,broken clouds
22,Meulaboh,ID,4.1363,96.1285,77.4,86,100,2.46,overcast clouds
23,Thompson,CA,55.7435,-97.8558,59.16,51,75,13.8,broken clouds
24,Broken Hill,AU,-31.95,141.4333,47.91,71,4,11.5,clear sky
25,Espanola,US,35.9911,-106.0806,85.64,34,42,6.85,scattered clouds
26,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,100,4.61,overcast clouds
27,Savalou,BJ,7.9281,1.9756,78.4,71,100,3.58,light rain
28,Mar Del Plata,AR,-38.0023,-57.5575,57.09,60,90,3.0,overcast clouds
29,Leningradskiy,RU,69.3833,178.4167,37.6,90,100,4.61,overcast clouds
30,Nikolskoye,RU,59.7035,30.7861,69.69,67,7,2.46,clear sky
31,Sokoto,NG,13.0609,5.239,84.42,61,100,14.79,light rain
32,Rawson,AR,-43.3002,-65.1023,51.91,36,5,21.43,clear sky
33,Kavaratti,IN,10.5669,72.642,80.83,80,100,21.61,overcast clouds
34,Marsh Harbour,BS,26.5412,-77.0636,83.98,72,97,11.05,overcast clouds
35,Castro,BR,-24.7911,-50.0119,69.26,52,4,5.75,clear sky
36,Ballina,AU,-28.8667,153.5667,48.78,76,0,5.75,clear sky
37,Carnarvon,AU,-24.8667,113.6333,53.67,73,0,4.61,clear sky
38,Lewistown,US,40.5992,-77.5714,90.95,60,90,3.44,overcast clouds
39,Khatanga,RU,71.9667,102.5,48.52,89,31,6.87,scattered clouds
40,Kaitangata,NZ,-46.2817,169.8464,49.93,60,100,3.83,light rain
41,Qaanaaq,GL,77.484,-69.3632,40.48,70,89,5.79,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,33.46,100,75,21.85,snow
43,Butaritari,KI,3.0707,172.7902,81.48,77,86,10.69,moderate rain
44,Hami,CN,42.8,93.45,87.1,18,0,8.77,clear sky
45,Safranbolu,TR,41.2508,32.6942,65.64,78,3,3.69,clear sky
46,Bambous Virieux,MU,-20.3428,57.7575,70.21,64,20,12.66,few clouds
47,New Norfolk,AU,-42.7826,147.0587,42.71,69,63,5.99,broken clouds
48,Punta Arenas,CL,-53.15,-70.9167,41.11,65,20,19.57,few clouds
49,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,64,0,15.68,clear sky
50,Berlevag,NO,70.8578,29.0864,46.4,87,75,23.02,broken clouds
51,Marsa Matruh,EG,31.3525,27.2453,78.46,59,0,7.96,clear sky
52,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,90,12.66,light rain
53,Asau,RO,46.4333,26.4,72.75,78,100,2.59,overcast clouds
54,Busia,UG,0.4544,34.0758,64.13,74,5,2.28,clear sky
55,Kodiak,US,57.79,-152.4072,51.31,87,75,5.75,broken clouds
56,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,29,11.59,scattered clouds
57,Rikitea,PF,-23.1203,-134.9692,70.5,67,76,6.44,broken clouds
58,Cape Town,ZA,-33.9258,18.4232,63.12,55,0,1.14,clear sky
59,Herat,AF,34.5,62.0,87.21,12,0,40.53,clear sky
60,Laguna,US,38.421,-121.4238,104.43,40,1,4.61,clear sky
61,Port Blair,IN,11.6667,92.75,82.26,87,100,17.05,overcast clouds
62,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,98.83,16,0,17.34,clear sky
63,Zyryanka,RU,65.75,150.85,45.73,73,100,16.37,light rain
64,Rotterdam,NL,51.9225,4.4792,72.95,80,100,6.91,overcast clouds
65,Tiarei,PF,-17.5333,-149.3333,78.82,68,1,9.78,clear sky
66,Georgetown,MY,5.4112,100.3354,83.89,86,20,0.0,few clouds
67,Bethel,US,41.3712,-73.414,80.04,85,90,1.01,overcast clouds
68,Monte Alegre,BR,-2.0078,-54.0692,92.53,38,83,3.85,broken clouds
69,Fortuna,US,40.5982,-124.1573,85.42,86,1,10.36,clear sky
70,Lakatoro,VU,-16.0999,167.4164,77.58,86,49,4.07,scattered clouds
71,Hwange,ZW,-18.3693,26.5019,59.02,40,2,6.44,clear sky
72,Calama,CL,-22.4667,-68.9333,66.69,9,75,16.11,broken clouds
73,Kapaa,US,22.0752,-159.319,80.92,82,75,3.0,light rain
74,Ponnani,IN,10.767,75.9252,76.32,89,100,10.47,overcast clouds
75,Tucumcari,US,35.1717,-103.725,87.64,40,1,18.41,clear sky
